date,conversion_rate,conversion_rate_7d_ma,sessions,total_revenue,period
2024-04-10,0.005807,0.006648381188176622,10160,69733.86,pre_launch
2024-04-11,0.004909,0.006308069961370197,10185,66833.13,pre_launch
2024-04-12,0.00716,0.006483331165360735,10195,93635.75,pre_launch
2024-04-13,0.006745,0.0064623421858807425,13195,116021.24,pre_launch
2024-04-14,0.006557,0.006453982688581995,13115,103221.04,pre_launch
2024-04-15,0.005384,0.006254773980688813,10030,66036.91,pre_launch
2024-04-16,0.00749,0.006293248952510064,10147,97489.08,pre_launch
2024-04-17,0.006518,0.006394790118742421,10126,79002.04,pre_launch
2024-04-18,0.006137,0.006570167369976876,9940,69280.94,pre_launch
2024-04-19,0.006515,0.006478014277712917,10130,84744.58,pre_launch
2024-04-20,0.006856,0.006493813807655871,13128,119766.15,pre_launch
2024-04-21,0.006177,0.006439485112621481,13113,90920.51,pre_launch
2024-04-22,0.007203,0.006699431541343997,10134,85315.6,pre_launch
2024-04-23,0.006253,0.006522746290602217,10075,87201.9,pre_launch
2024-04-24,0.006017,0.006451204285965343,10304,72458.28,pre_launch
2024-04-25,0.006672,0.0065276552528415145,10042,83362.32,pre_launch
2024-04-26,0.006325,0.006500520918176711,10118,76900.89,pre_launch
2024-04-27,0.006374,0.006431761527054942,13178,115768.16,pre_launch
2024-04-28,0.008941,0.006826571871959637,13198,149523.12,pre_launch
2024-04-29,0.006624,0.006743765092716055,10115,73434.39,pre_launch
2024-04-30,0.006417,0.006767210257324089,10129,77317.68,pre_launch
2024-05-01,0.007582,0.006990837534964323,10155,100290.57,post_launch
2024-05-02,0.008695,0.007279812529764534,10236,121635.22,post_launch
2024-05-03,0.006424,0.0072938409436289296,10119,71159.62,post_launch
2024-05-04,0.006839,0.007360293137591562,13159,100793.39,post_launch
2024-05-05,0.00677,0.007050254866999781,13293,119206.9,post_launch
2024-05-06,0.006727,0.007065043249356145,10108,90510.52,post_launch
2024-05-07,0.007615,0.007236221879730505,10111,100159.05,post_launch
2024-05-08,0.00696,0.007147311917154205,10201,93069.35,post_launch
2024-05-09,0.007191,0.006932426048956894,9874,95279.68,post_launch
2024-05-10,0.007846,0.007135612320568687,10069,98472.5,post_launch
2024-05-11,0.007488,0.007228278269975237,13221,124383.27,post_launch
2024-05-12,0.007878,0.0073865283986297575,13074,137513.35,post_launch
2024-05-13,0.005993,0.007281680194992556,10011,78024.96,post_launch
2024-05-14,0.007936,0.0073274305322473,10081,94785.87,post_launch
2024-05-15,0.008152,0.007497764656582769,10181,109940.01,post_launch
2024-05-16,0.006917,0.007458636896263464,10265,92739.93,post_launch
2024-05-17,0.008142,0.007500969311443073,10071,101023.51,post_launch
2024-05-18,0.00815,0.007595540374620864,13006,134656.24,post_launch
2024-05-19,0.007995,0.0076122396853574165,13133,125510.82,post_launch
2024-05-20,0.007158,0.007778607168646144,9919,77616.62,post_launch
2024-05-21,0.008431,0.007849296506112836,10201,104950.66,post_launch
2024-05-22,0.007415,0.00774398413699151,10384,98927.05,post_launch
