user_id,segment_id,segment_name,total_sessions,conversion_rate,revenue_per_session,days_active
U0505407,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0441705,0,One-Time Browsers,2,0.0,0.0,2
U0345668,1,One-Time Browsers,1,0.0,0.0,1
U0827560,1,One-Time Browsers,2,0.0,0.0,2
U0096511,2,Window Shoppers (Retargetable),5,0.0,0.0,5
U0126125,2,Window Shoppers (Retargetable),5,0.0,0.0,5
U0356838,0,One-Time Browsers,1,0.0,0.0,1
U0777754,0,One-Time Browsers,2,0.0,0.0,2
U0586531,2,Window Shoppers (Retargetable),5,0.0,0.0,5
U0574119,0,One-Time Browsers,1,0.0,0.0,1
U0425217,1,One-Time Browsers,2,0.0,0.0,2
U0464074,0,One-Time Browsers,1,0.0,0.0,1
U0938493,1,One-Time Browsers,2,0.0,0.0,2
U0053456,0,One-Time Browsers,1,0.0,0.0,1
U0041210,0,One-Time Browsers,1,0.0,0.0,1
U0631341,0,One-Time Browsers,1,0.0,0.0,1
U0033373,1,One-Time Browsers,2,0.0,0.0,2
U1006573,1,One-Time Browsers,2,0.0,0.0,2
U0356568,0,One-Time Browsers,2,0.0,0.0,2
U0459611,1,One-Time Browsers,1,0.0,0.0,1
U0174642,0,One-Time Browsers,2,0.0,0.0,2
U0618923,0,One-Time Browsers,1,0.0,0.0,1
U0445875,0,One-Time Browsers,2,0.0,0.0,2
U0492637,0,One-Time Browsers,1,0.0,0.0,1
U0550717,0,One-Time Browsers,1,0.0,0.0,1
U0191691,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0591428,0,One-Time Browsers,1,0.0,0.0,1
U0214841,0,One-Time Browsers,1,0.0,0.0,1
U0212751,1,One-Time Browsers,1,0.0,0.0,1
U1130319,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0508511,0,One-Time Browsers,1,0.0,0.0,1
U0892034,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0655961,0,One-Time Browsers,2,0.0,0.0,2
U0436267,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0505087,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0609818,0,One-Time Browsers,1,0.0,0.0,1
U0726710,1,One-Time Browsers,1,0.0,0.0,1
U0203391,0,One-Time Browsers,2,0.0,0.0,2
U1076433,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0791741,0,One-Time Browsers,2,0.0,0.0,2
U0625243,0,One-Time Browsers,1,0.0,0.0,1
U0301174,0,One-Time Browsers,1,0.0,0.0,1
U0058052,1,One-Time Browsers,2,0.0,0.0,2
U0971672,1,One-Time Browsers,3,0.0,0.0,3
U1155315,0,One-Time Browsers,1,0.0,0.0,1
U0905563,1,One-Time Browsers,2,0.0,0.0,2
U0592734,0,One-Time Browsers,1,0.0,0.0,1
U0190516,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0439311,0,One-Time Browsers,2,0.0,0.0,2
U0131409,1,One-Time Browsers,1,0.0,0.0,1
U0877143,2,Window Shoppers (Retargetable),4,0.0,0.0,4
U1091018,0,One-Time Browsers,2,0.0,0.0,2
U0627767,1,One-Time Browsers,2,0.0,0.0,2
U1029083,0,One-Time Browsers,2,0.0,0.0,2
U0896122,0,One-Time Browsers,2,0.0,0.0,2
U0397870,0,One-Time Browsers,2,0.0,0.0,2
U0813742,0,One-Time Browsers,2,0.0,0.0,2
U0234051,0,One-Time Browsers,1,0.0,0.0,1
U0086572,0,One-Time Browsers,1,0.0,0.0,1
U1189389,3,High-Value Loyal Buyers,2,0.5,1501.595,2
U0251174,0,One-Time Browsers,1,0.0,0.0,1
U0533329,0,One-Time Browsers,2,0.0,0.0,2
U0372165,0,One-Time Browsers,2,0.0,0.0,2
U0948629,0,One-Time Browsers,1,0.0,0.0,1
U0902647,1,One-Time Browsers,1,0.0,0.0,1
U1044650,0,One-Time Browsers,1,0.0,0.0,1
U0589431,0,One-Time Browsers,1,0.0,0.0,1
U0433430,0,One-Time Browsers,2,0.0,0.0,2
U0910423,0,One-Time Browsers,1,0.0,0.0,1
U0931959,0,One-Time Browsers,2,0.0,0.0,2
U0342981,1,One-Time Browsers,2,0.0,0.0,2
U0057928,0,One-Time Browsers,2,0.0,0.0,2
U0324896,0,One-Time Browsers,1,0.0,0.0,1
U0699748,0,One-Time Browsers,1,0.0,0.0,1
U0013785,0,One-Time Browsers,1,0.0,0.0,1
U0390206,1,One-Time Browsers,1,0.0,0.0,1
U0903800,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U1033575,0,One-Time Browsers,1,0.0,0.0,1
U0253393,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0837057,1,One-Time Browsers,3,0.0,0.0,3
U0350807,1,One-Time Browsers,3,0.0,0.0,3
U0841186,0,One-Time Browsers,2,0.0,0.0,2
U1045594,1,One-Time Browsers,1,0.0,0.0,1
U0257551,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0754008,1,One-Time Browsers,2,0.0,0.0,2
U0028861,1,One-Time Browsers,2,0.0,0.0,2
U1057314,0,One-Time Browsers,1,0.0,0.0,1
U0812838,0,One-Time Browsers,1,0.0,0.0,1
U0898175,0,One-Time Browsers,2,0.0,0.0,2
U0987724,1,One-Time Browsers,2,0.0,0.0,2
U0038512,0,One-Time Browsers,1,0.0,0.0,1
U0177922,2,Window Shoppers (Retargetable),5,0.0,0.0,4
U0808611,0,One-Time Browsers,1,0.0,0.0,1
U0466661,1,One-Time Browsers,1,0.0,0.0,1
U0689012,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U1088328,1,One-Time Browsers,1,0.0,0.0,1
U0929327,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0224778,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0491087,0,One-Time Browsers,2,0.0,0.0,2
U0140971,1,One-Time Browsers,2,0.0,0.0,2
U0697342,1,One-Time Browsers,1,0.0,0.0,1
U0903607,0,One-Time Browsers,2,0.0,0.0,2
U0199701,1,One-Time Browsers,3,0.0,0.0,3
U0318975,0,One-Time Browsers,1,0.0,0.0,1
U0127167,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0568478,1,One-Time Browsers,3,0.0,0.0,3
U0361871,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0850783,0,One-Time Browsers,1,0.0,0.0,1
U0978700,1,One-Time Browsers,1,0.0,0.0,1
U0047401,0,One-Time Browsers,2,0.0,0.0,2
U0766602,0,One-Time Browsers,1,0.0,0.0,1
U1189278,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0858871,1,One-Time Browsers,1,0.0,0.0,1
U0749152,0,One-Time Browsers,1,0.0,0.0,1
U1020127,0,One-Time Browsers,1,0.0,0.0,1
U0574986,1,One-Time Browsers,3,0.0,0.0,3
U0220600,0,One-Time Browsers,2,0.0,0.0,2
U0536611,0,One-Time Browsers,1,0.0,0.0,1
U1073976,2,Window Shoppers (Retargetable),4,0.0,0.0,4
U0277785,2,Window Shoppers (Retargetable),5,0.0,0.0,5
U0670528,0,One-Time Browsers,1,0.0,0.0,1
U0096083,0,One-Time Browsers,1,0.0,0.0,1
U0835590,0,One-Time Browsers,2,0.0,0.0,2
U0206799,1,One-Time Browsers,2,0.0,0.0,2
U0029030,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0363311,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0201297,0,One-Time Browsers,1,0.0,0.0,1
U0923110,0,One-Time Browsers,1,0.0,0.0,1
U0108051,0,One-Time Browsers,1,0.0,0.0,1
U1078505,1,One-Time Browsers,1,0.0,0.0,1
U1113712,2,Window Shoppers (Retargetable),3,0.0,0.0,2
U0337914,1,One-Time Browsers,1,0.0,0.0,1
U0819143,1,One-Time Browsers,4,0.0,0.0,4
U0837781,0,One-Time Browsers,2,0.0,0.0,2
U0562549,0,One-Time Browsers,1,0.0,0.0,1
U1174188,2,Window Shoppers (Retargetable),5,0.0,0.0,5
U0905628,2,Window Shoppers (Retargetable),4,0.0,0.0,4
U0382863,1,One-Time Browsers,2,0.0,0.0,2
U0298674,1,One-Time Browsers,2,0.0,0.0,2
U0374214,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0812064,0,One-Time Browsers,2,0.0,0.0,2
U0309299,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U1151156,0,One-Time Browsers,1,0.0,0.0,1
U0490513,0,One-Time Browsers,1,0.0,0.0,1
U1001450,1,One-Time Browsers,3,0.0,0.0,3
U0556143,0,One-Time Browsers,2,0.0,0.0,2
U0306444,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0566407,1,One-Time Browsers,4,0.0,0.0,3
U0124350,0,One-Time Browsers,1,0.0,0.0,1
U0194123,1,One-Time Browsers,1,0.0,0.0,1
U0337970,0,One-Time Browsers,1,0.0,0.0,1
U1039355,0,One-Time Browsers,2,0.0,0.0,2
U1013894,1,One-Time Browsers,1,0.0,0.0,1
U0545514,0,One-Time Browsers,1,0.0,0.0,1
U0563657,1,One-Time Browsers,4,0.0,0.0,4
U1034900,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0765459,2,Window Shoppers (Retargetable),3,0.0,0.0,3
U0256614,0,One-Time Browsers,1,0.0,0.0,1
U0195554,0,One-Time Browsers,1,0.0,0.0,1
U0913415,1,One-Time Browsers,3,0.0,0.0,3
U0665479,1,One-Time Browsers,1,0.0,0.0,1
U0649622,1,One-Time Browsers,2,0.0,0.0,2
U1177310,1,One-Time Browsers,2,0.0,0.0,2
U1118658,1,One-Time Browsers,3,0.0,0.0,3
U0294333,0,One-Time Browsers,2,0.0,0.0,2
U0430118,0,One-Time Browsers,2,0.0,0.0,2
U0584014,1,One-Time Browsers,1,0.0,0.0,1
U0770747,1,One-Time Browsers,1,0.0,0.0,1
U0045134,0,One-Time Browsers,1,0.0,0.0,1
U0106452,0,One-Time Browsers,1,0.0,0.0,1
U0927072,0,One-Time Browsers,1,0.0,0.0,1
U1127378,0,One-Time Browsers,2,0.0,0.0,2
